date,mobile_device_brand,mobile_device_os,credit_card_type,currency
2025-04-07,Gionee,"Android 5.1, Amigo 3.1",china-unionpay,Yuan Renminbi
2025-07-03,Honor,"Android 10, Magic UI 3.1",mastercard,Zloty
2025-07-11,Samsung,Android 1.5/ 2.1,switch,Ruble
2025-07-27,Philips,Feature phone,bankcard,Zloty
2025-04-01,Motorola,Android 8.0,jcb,Franc
2025-03-15,BLU,Android 5.0,jcb,Yuan Renminbi
2025-02-13,Asus,Feature phone,jcb,Yuan Renminbi
2025-12-17,Samsung,"Android 6.0.1, up to 7.1.1",jcb,Naira
2025-06-23,ZTE,Android 4.4.2,jcb,Baht
2025-06-30,Asus,Android 4.0,jcb,Zloty
2025-12-23,LG,Android 4.4.2,visa,Franc
2025-02-02,BenQ,Feature phone,jcb,Yuan Renminbi
2025-12-29,Plum,Android 6.0,mastercard,Baht
2025-10-30,Celkon,Android 4.4.2,switch,Peso
2025-04-04,LG,Feature phone,mastercard,Yuan Renminbi
2025-05-12,Samsung,"Android 9.0, up to Android 10, One UI 2.0",diners-club-enroute,Yuan Renminbi
2025-12-27,vivo,"Android 8.1, Funtouch 4.5",jcb,Cedi
2025-02-04,ZTE,"Android 6.0, MiFavor UI",jcb,Rupiah
2025-10-09,Samsung,Android 2.2,visa-electron,Euro
2025-12-31,Allview,Android 5.1,americanexpress,Dong
2025-12-09,Karbonn,Feature phone,jcb,Real
2025-05-18,Karbonn,Android 4.0,jcb,Rial
2025-01-25,Wiko,Android 5.0,visa,Yuan Renminbi
2025-03-26,Huawei,"Android 2.1, up to 2.2",maestro,Yuan Renminbi
2026-01-13,Sony,Feature phone,jcb,Peso
2025-10-25,Huawei,"Android 10, EMUI 10, no Google Play Services",jcb,Zloty
2025-10-25,Micromax,Feature phone,visa-electron,Rupiah
2025-12-29,Motorola,Feature phone,jcb,Peso
2025-10-17,Siemens,Feature phone,jcb,Hryvnia
2025-04-19,alcatel,Android 8.1,jcb,Euro
2025-06-02,Kyocera,Android 2.3,jcb,Rupiah
2025-10-04,Micromax,Android 5.1,jcb,Yuan Renminbi
2025-11-16,Ericsson,Feature phone,diners-club-us-ca,Yuan Renminbi
2025-08-04,Acer,Microsoft Windows 10,jcb,Euro
2025-08-11,Micromax,Microsoft Windows Phone 8.1,americanexpress,Yuan Renminbi
2025-04-17,Samsung,Feature phone,laser,Shilling
2025-02-11,Qtek,Microsoft Windows Mobile 5.0 Smartphone,jcb,Peso
2025-11-27,Vodafone,Feature phone,diners-club-us-ca,Real
2025-01-26,Micromax,Feature phone,jcb,Rial
2025-09-02,Nokia,Feature phone,instapayment,Krona
2025-05-07,Samsung,Android 4.2.2,diners-club-carte-blanche,Rupiah
2025-04-03,Mitsubishi,Feature phone,jcb,Lek
2025-12-12,alcatel,Android 4.4.2,solo,Sol
2025-01-28,Energizer,Android 6.0,jcb,Peso
2026-01-03,Kyocera,Feature phone,americanexpress,Yuan Renminbi
2025-05-07,Wiko,Android 8.1,mastercard,Peso
2025-04-25,BenQ-Siemens,Feature phone,mastercard,Rupiah
2025-02-21,Sony,"Android 2.3, up to 4.0.4",jcb,Rupiah
2026-01-11,Sony,Feature phone,jcb,Peso
2025-03-19,Samsung,Feature phone,jcb,Ruble
2025-09-14,T-Mobile,"Android 1.5, Sense UI",mastercard,Hryvnia
2025-06-09,Spice,Android 4.2,visa-electron,Krona
2025-02-02,Sewon,Feature phone,jcb,Zloty
2025-11-09,NEC,Android 4.0,jcb,Euro
2026-01-02,Maxwest,Android 5.1,jcb,Euro
2025-11-13,Icemobile,Feature phone,switch,Rial
